user_id,anime_id,rating
0,67,9
0,6702,7
0,242,10
0,4898,0
0,21,10
0,24,9
0,2104,0
0,4722,8
0,6098,6
0,3125,9
0,481,10
0,68,6
0,1689,6
0,2913,6
0,1250,7
0,356,9
0,121,9
0,430,9
0,1829,7
0,1571,10
0,578,10
0,431,8
0,2762,9
0,570,7
0,3418,9
0,3010,7
0,1004,5
0,433,6
0,600,6
0,2034,8
0,164,8
0,4086,6
0,457,0
0,20,0
0,1074,0
0,761,0
0,2248,6
0,597,0
0,1047,6
0,459,9
0,466,7
0,2543,7
0,419,8
0,199,8
0,169,7
0,2547,7
0,174,4
0,448,5
0,2236,10
0,415,10
0,1894,7
0,269,9
0,235,10
0,71,0
0,245,0
0,134,0
0,1887,0
0,3457,0
0,1535,0
0,1726,0
0,228,0
0,1735,0
0,1482,0
0,5114,0
0,256,0
0,19,0
0,877,0
0,272,0
0,853,0
0,177,0
0,1985,0
0,202,0
0,2006,0
0,482,0
1,37403,8
1,9989,0
1,24833,0
1,7674,7
1,34572,0
1,34566,7
1,2167,0
1,40852,9
1,10087,7
1,38680,0
1,40052,8
1,40748,9
1,1604,0
1,20507,0
1,21,9
1,38483,0
1,26243,7
1,42203,9
1,40028,10
1,39551,0
1,39617,0
1,3972,7
1,481,8
1,22199,7
1,6547,6
1,9919,8
1,5081,8
1,31043,9
1,31964,9
1,33486,8
1,36456,8
1,38408,8
1,28755,8
1,1575,10
1,35849,6
1,1535,9
1,18689,8
1,38731,8
1,30230,8
1,38691,9
1,38671,7
1,40956,7
1,5114,10
1,37349,7
1,20583,8
1,28891,8
1,32935,8
1,38883,8
1,40776,9
1,37259,8
1,11061,9
1,37497,8
1,37999,8
1,40221,8
1,37965,9
1,18679,6
1,38000,9
1,32281,10
1,22535,9
1,28851,9
1,30831,7
1,32937,7
1,11771,7
1,16894,7
1,24415,7
1,34599,8
1,19,9
1,20,10
1,442,7
1,936,6
1,2144,6
1,1735,10
1,2472,7
1,4437,7
1,6325,7
1,8246,7
1,10589,7
1,13667,8
1,19815,8
1,30276,8
